2019-11-22 11:27:02.002 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 40890 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 11:27:02.020 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 11:27:03.126 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 11:27:03.132 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 11:27:03.194 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27ms. Found 0 repository interfaces.
2019-11-22 11:27:03.832 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.jandar.file.entity.RedisConfig$$EnhancerBySpringCGLIB$$e03ff5e6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 11:27:03.900 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$f97d5b2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 11:27:05.328 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 11:27:05.677 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 11:27:06.556 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.925 seconds (JVM running for 7.287)
2019-11-22 11:27:06.962 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 11:27:06.964 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 11:27:08.316 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 11:28:02.858 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 40898 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 11:28:02.860 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 11:28:05.170 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 11:28:05.177 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 11:28:05.305 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67ms. Found 0 repository interfaces.
2019-11-22 11:28:05.971 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.jandar.file.entity.RedisConfig$$EnhancerBySpringCGLIB$$b9a31df9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 11:28:06.042 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$e8fafdc5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 11:28:07.491 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 11:28:07.792 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 11:28:08.895 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 6.826 seconds (JVM running for 8.123)
2019-11-22 11:28:09.412 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 11:28:09.416 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 11:28:10.775 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 11:32:15.219 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 40920 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 11:32:15.221 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 11:32:16.831 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 11:32:16.835 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 11:32:16.907 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 0 repository interfaces.
2019-11-22 11:32:17.740 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.jandar.file.entity.RedisConfig$$EnhancerBySpringCGLIB$$b9a31df9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 11:32:17.819 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$e8fafdc5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 11:32:19.375 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 11:32:19.704 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 11:32:20.631 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.929 seconds (JVM running for 7.174)
2019-11-22 11:32:21.024 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 11:32:21.027 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 11:32:21.216 [main] INFO  com.jandar.file.test.SpringBootMainTest - 数据为：111
2019-11-22 11:32:22.369 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:02:45.736 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41825 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:02:45.738 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:02:47.426 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:02:47.430 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:02:47.585 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 128ms. Found 0 repository interfaces.
2019-11-22 15:02:48.512 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$4bef0d68] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:02:50.620 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 15:02:50.965 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 15:02:51.558 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 7.226 seconds (JVM running for 11.068)
2019-11-22 15:02:51.930 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 15:02:51.931 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 15:02:52.175 [main] INFO  com.jandar.file.test.SpringBootMainTest - 陈总
2019-11-22 15:02:52.187 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:05:42.621 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41872 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:05:42.623 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:05:43.977 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:05:43.980 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:05:44.024 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 0 repository interfaces.
2019-11-22 15:05:44.699 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$e11e8bed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:05:46.466 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 15:05:46.667 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 15:05:47.166 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.237 seconds (JVM running for 6.469)
2019-11-22 15:05:47.571 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 15:05:47.572 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 15:05:47.827 [main] INFO  com.jandar.file.test.SpringBootMainTest - 陈总
2019-11-22 15:05:47.832 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:-1
2019-11-22 15:05:47.849 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:12:34.867 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41943 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:12:34.869 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:12:35.943 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:12:35.952 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:12:36.049 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 58ms. Found 0 repository interfaces.
2019-11-22 15:12:37.203 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$2fa56bbf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:12:39.130 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 15:12:39.368 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 15:12:39.860 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.51 seconds (JVM running for 6.759)
2019-11-22 15:12:40.763 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 15:12:40.765 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 15:12:41.004 [main] INFO  com.jandar.file.test.SpringBootMainTest - 陈总
2019-11-22 15:12:41.008 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: -1
2019-11-22 15:12:41.022 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:13:02.420 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41945 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:13:02.421 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:13:03.761 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:13:03.764 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:13:03.818 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24ms. Found 0 repository interfaces.
2019-11-22 15:13:04.566 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$4bef0d68] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:13:06.209 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 15:13:06.489 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 15:13:07.001 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.34 seconds (JVM running for 6.589)
2019-11-22 15:13:07.358 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 15:13:07.359 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 15:13:07.618 [main] INFO  com.jandar.file.test.SpringBootMainTest - 陈总
2019-11-22 15:13:07.621 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: -1
2019-11-22 15:13:07.640 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:13:21.091 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41947 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:13:21.092 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:13:22.408 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:13:22.412 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:13:22.449 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21ms. Found 0 repository interfaces.
2019-11-22 15:13:23.158 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$76469ea8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:13:24.792 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 15:13:25.003 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 15:13:25.521 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.255 seconds (JVM running for 6.394)
2019-11-22 15:13:25.908 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 15:13:25.910 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 15:13:26.155 [main] INFO  com.jandar.file.test.SpringBootMainTest - 陈总
2019-11-22 15:13:26.169 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 9
2019-11-22 15:13:26.191 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:14:35.744 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41953 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:14:35.746 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:14:37.601 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:14:37.605 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:14:37.659 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29ms. Found 0 repository interfaces.
2019-11-22 15:14:38.639 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$2fa56bbf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:14:40.423 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
